Date,NDataTimes,MeanWL,MinWL,MaxWL,MeanQin,MinQin,MaxQin,MeanSeaLevel,MinSeaLevel,MaxSeaLevel,MeanWaveHs,MinWaveHs,MaxWaveHs,MeanHsOffshore,MinHsOffshore,MaxHsOffshore,MeanWaveTs,MinWaveTs,MaxWaveTs,MeanWavePower,MinWavePower,MaxWavePower,MeanEAngle_Offshore,MinEAngle_Offshore,MaxEAngle_Offshore,MeanLST,MinLST,MaxLST,MeanRunup1,MinRunup1,MaxRunup1,MeanRunup2,MinRunup2,MaxRunup2,MeanR_high1,MinR_high1,MaxR_high1,MeanR_high2,MinR_high2,MaxR_high2,MeanQout,MinQout,MaxQout,MeanVolume,MinVolume,MaxVolume
25/08/2016,97,1.4619793814433,1.004,2.139,43.3512721649485,42.475,43.784,-0.0501650583837052,-0.855319772706193,0.792938503463291,1.70360824742268,1.57,1.92,1.86353042492865,1.72522340306915,2.06308410147442,5.72474226804124,4.98,6.05,10915.5476297694,9315.73003427651,13022.3365297727,-11.9683059452687,-13.7373360288555,-9.47443252732498,-0.000872564677351903,-0.0010169510948682,-0.000615477787778769,1.0895675492059,0.982383251081894,1.15232390605772,1.87978813225442,1.79066704231239,2.03126893985683,1.0394024908222,0.17171382529504,1.91618471772965,1.82962307387071,0.973913178980951,2.69989409251557,42.8542607211218,19.7170840615358,55.2454217169524,148199.019148099,92651.992827353,235509.012583108
26/08/2016,97,1.53126804123711,1.04,2.221,43.0605262886598,42.44,44.1616,0.176848654765169,-0.746083525656067,1.07273261844897,1.72711340206186,1.6,1.82,1.87173193324509,1.75553879499414,1.95717852211044,5.38123711340206,4.91,6.02,10957.7633582138,9754.399478176,11854.2592646026,-8.16679250138155,-10.9292190551845,1.71413721639343,-0.000624095332788052,-0.000882937579992323,0.000143418674105299,1.02029020021796,0.940463228369278,1.12583903442018,1.77474721019545,1.67056847542065,1.89155427780109,1.19713885498313,0.347597430367115,2.10249825233635,1.95159586496062,1.08930429538452,2.90087302841935,42.8008906100686,24.5708858875787,53.3731251274408,156834.477660562,96653.3615985337,247095.401219488
27/08/2016,97,1.47447422680412,1.017,2.333,47.1457520618557,44.1616,48.784,0.27632318382057,-0.592171210175293,1.12816805312482,1.67479381443299,1.52,1.78,1.82946693632302,1.66727213143472,1.94986968700509,5.97242268041237,5.06,6.48,11132.331266635,8943.45528096251,13003.0724948074,2.14874081265119,-3.66214289780359,7.21187190910292,0.000133608378527882,-0.000281063583938941,0.000473157672077133,1.13247608678913,0.960401503881396,1.2654152705242,1.93224302273562,1.64885004924802,2.17842193753731,1.4087992706097,0.447271020696146,2.32260697028435,2.20856620655619,1.14582215605987,3.14938972397584,48.0539503728031,29.4480778697641,57.8416540356773,149871.013013481,94092.1652122451,263291.542665603
28/08/2016,97,1.49158762886598,1.059,2.124,46.182475257732,45.0004,47.242,0.26011913791078,-0.548806702845453,1.12826754498005,1.44752577319588,1.25,1.75,1.58404467715231,1.36491460582887,1.91724289021935,6.25262886597938,5.9,7.18,8756.11618592596,6545.90596629829,12546.83107347,-1.44948161039175,-4.9883805524178,4.95268639012894,-0.000113138805067281,-0.000346886691732716,0.00021094584714349,1.10113947777277,1.05227473370298,1.22196080295996,1.74318553224618,1.54675396302726,2.06959850675699,1.36125861568355,0.523919298353348,2.28323699728767,2.00330467015696,1.04762151425597,3.16029411414068,45.9442504207758,27.1821624264395,58.1419784713035,151430.534211073,98781.7312064098,233412.04939814
29/08/2016,97,1.50609278350516,1.028,2.173,44.4870324742268,43.9728,45.0004,0.275948368975652,-0.561503156964972,1.18163941688875,1.18644329896907,1.05,1.37,1.29114053806166,1.14050926935716,1.47653839659617,5.94762886597938,5.13,7.35,5881.42727025206,4397.06321464093,8104.31704338158,7.26758553614691,2.47018398424261,21.0456346628689,0.000305689117284006,0.000116566045737542,0.00108000228710973,0.949823003153325,0.773616351635088,1.28158102248655,1.37090496906192,1.08203388456743,1.91734312391766,1.22577137212898,0.390838369996268,2.20797890779,1.64685333803757,0.730998853541246,2.82047368169285,45.0396128467596,26.2347375663792,58.2430404489688,153461.508378066,95314.9898394845,240287.276073076
30/08/2016,97,1.32246391752577,0.974,1.882,44.1814670103093,43.8278,44.439,0.229879605112862,-0.580070244989817,1.08251028114459,1.56680412371134,1.3,1.7,1.74766790011378,1.43547435080612,1.89516691088171,6.61927835051546,4.73,8.09,11145.054373991,7430.70082669791,13157.176858553,29.5846948762727,21.0456346628689,36.6979263077894,0.0018196866085124,0.00108000228710973,0.00207150357803877,1.25679255017125,0.862820461303252,1.64232865916078,2.05461025913822,1.46100717055946,2.70871768301152,1.48667215528411,0.383338716604765,2.72248780969823,2.28448986425108,1.00994107632066,3.78887683354897,44.2261482898814,25.6453831265374,53.564413918036,130346.125793811,89349.64736736,200393.706103865
31/08/2016,97,1.37605154639175,1.054,1.783,43.2627324742268,42.419,43.8278,0.183135723847115,-0.646187613669481,1.02336303908062,1.48742268041237,1.34,1.72,1.60938756507415,1.45176973419128,1.83457748254089,5.34845360824742,4.65,6.68,9074.95051976684,7537.81707614513,11476.4004234224,23.6620862452096,21.6763886249253,26.3868441508861,0.00157620502127727,0.0011230535881158,0.00208352145124823,0.939543296377945,0.810944582726318,1.15750809820563,1.50812963845639,1.26704617827701,1.75859238226381,1.12267902022506,0.206839819347253,1.96470468990127,1.6912653623035,0.758414210355535,2.49537059479375,43.1704056546842,27.8088607751871,48.960887446697,136476.489473653,98220.5360039049,187289.760284399
01/09/2016,97,1.37919587628866,1.091,1.838,41.9034092783505,41.465,42.419,0.241730255755484,-0.550183340031159,1.05531308597922,1.30685567010309,1.19,1.42,1.4279590620379,1.30094012260102,1.56316103600466,6.82231958762887,6.52,7.27,7118.09920321687,6011.03114126738,8329.18171382926,11.5695429195565,4.74000661081064,24.6233372448229,0.000518735265982552,0.000188795989942612,0.0011230535881158,1.16249389672773,1.06124444918286,1.22480906947283,1.71982145015996,1.51004689206525,1.85860260497889,1.40422415248321,0.570278406990014,2.25996499804378,1.96155170591545,1.08014151796855,2.7991506482038,41.8849513101195,30.1215040972028,48.3308133401235,137020.771118764,102391.783228855,194541.150921714
02/09/2016,97,1.3159793814433,1.072,1.805,40.8335278350515,40.361,41.465,0.26589772080578,-0.506077447317508,1.03906696718072,1.00139175257732,0.85,1.19,1.05309053040027,0.855742840594288,1.30094012260102,4.61242268041237,3.32,6.57,3832.7497878041,2286.91845357239,6011.03114126738,7.96177206660757,6.04084566021261,10.8347852488952,0.000309350346385827,0.000214160366575855,0.000409559737882598,0.665359319683566,0.434245253402151,1.06124444918286,0.883935293025024,0.511008037219727,1.51004689206525,0.931257040489345,0.0259595510590476,1.79802680574083,1.1498330138308,0.106533525792218,2.16184538582323,40.8606167504547,27.2228201353766,48.1439098463686,129203.603883284,100244.488135119,190181.735771651
03/09/2016,97,1.14649484536083,0.977,1.422,48.3590979381443,40.9114,52.8928,0.267496683324392,-0.456501647962509,0.970261834893014,1.15974226804124,0.84,1.75,1.18594949466258,0.864966694329719,1.8210045311487,3.75128865979381,3.03,4.39,3966.53580008986,2335.73220226053,8094.51153698054,6.93598554106012,-10.3860735442873,17.030100528291,0.000170562110698077,-0.000704532462215305,0.000557178056493201,0.565236637441503,0.424729495771421,0.814335316614236,0.793506158620445,0.519029002252305,1.37920662646109,0.832733320765895,0.0487545341193564,1.60674326515235,1.06100284194484,0.13353828296951,2.01845358815025,48.4850926052356,37.9327909355656,54.5361050070599,108939.88125714,89678.4985587987,141477.687737112
